iter	Passed	Remaining
0	146	145933
1	147	73357
2	147	49080
3	148	36971
4	149	29700
5	150	24860
6	150	21382
7	151	18777
8	152	16743
9	152	15128
10	153	13794
11	154	12681
12	154	11748
13	155	10958
14	156	10262
15	156	9647
16	157	9104
17	158	8628
18	158	8203
19	159	7821
20	160	7481
21	161	7170
22	162	6884
23	162	6615
24	163	6366
25	163	6137
26	164	5927
27	165	5731
28	165	5549
29	166	5378
30	167	5225
31	167	5076
32	168	4937
33	169	4804
34	169	4679
35	170	4561
36	170	4449
37	171	4343
38	173	4269
39	174	4176
40	174	4086
41	175	3998
42	175	3915
43	176	3836
44	177	3760
45	177	3688
46	178	3620
47	179	3556
48	180	3495
49	180	3433
50	181	3373
51	181	3316
52	182	3261
53	183	3207
54	183	3156
55	184	3108
56	185	3064
57	186	3025
58	187	2987
59	187	2944
60	188	2902
61	189	2865
62	190	2829
63	191	2795
64	192	2765
65	193	2731
66	193	2698
67	194	2669
68	195	2638
69	196	2607
70	197	2577
71	197	2548
72	198	2521
73	199	2494
74	200	2466
75	200	2440
76	201	2414
77	202	2388
78	202	2361
79	203	2336
80	204	2315
81	204	2293
82	205	2266
83	205	2243
84	206	2220
85	206	2198
86	207	2176
87	208	2155
88	208	2135
89	209	2115
90	209	2096
91	210	2079
92	211	2061
93	211	2042
94	212	2025
95	213	2007
96	214	1993
97	214	1977
98	215	1961
99	216	1946
100	216	1930
101	217	1915
102	218	1900
103	218	1885
104	219	1870
105	220	1856
106	220	1842
107	221	1828
108	222	1815
109	223	1808
110	224	1796
111	224	1783
112	225	1771
113	226	1758
114	226	1746
115	227	1735
116	228	1723
117	229	1716
118	230	1705
119	231	1694
120	231	1682
121	232	1673
122	233	1662
123	233	1651
124	234	1640
125	235	1631
126	235	1620
127	236	1609
128	236	1599
129	237	1589
130	238	1579
131	238	1570
132	239	1560
133	240	1551
134	240	1542
135	241	1534
136	242	1526
137	243	1518
138	243	1509
139	244	1500
140	244	1492
141	245	1482
142	245	1473
143	246	1465
144	247	1458
145	248	1451
146	248	1443
147	249	1435
148	250	1428
149	250	1421
150	251	1413
151	252	1406
152	252	1399
153	253	1392
154	254	1386
155	255	1379
156	255	1372
157	256	1366
158	257	1360
159	257	1353
160	258	1346
161	259	1340
162	259	1334
163	260	1328
164	261	1322
165	262	1316
166	262	1310
167	263	1303
168	263	1297
169	264	1291
170	265	1286
171	266	1281
172	266	1276
173	267	1270
174	268	1264
175	268	1258
176	269	1253
177	270	1247
178	270	1242
179	271	1236
180	272	1232
181	273	1227
182	273	1222
183	274	1216
184	274	1211
185	275	1205
186	276	1200
187	276	1195
188	277	1190
189	278	1185
190	278	1180
191	279	1176
192	280	1171
193	280	1166
194	281	1161
195	282	1156
196	282	1152
197	283	1147
198	283	1142
199	284	1138
200	285	1134
201	285	1129
202	286	1124
203	287	1121
204	288	1117
205	288	1112
206	289	1108
207	289	1104
208	290	1100
209	291	1096
